iteration_num,svm,decision_trees,neural_net,,,,,,,,
469,0.3783783784,0.3255813953,0.3255813953,,,,,,,,
470,0.2222222222,0.2127659574,0.2448979592,,,,,,,,
471,0.2962962963,0.2702702703,0.2702702703,,,,,,,,
472,0,0.0454545455,0.1071428571,,,,,,,,
473,0.1714285714,0.3137254902,0.3137254902,,,,,,,,
474,0.1428571429,0.2142857143,0.2295081967,,,,,,,,
475,0.2,0.1538461538,0.2372881356,,,,,,,,
476,0.0740740741,0.0975609756,0.0952380952,,,,,,,,
477,0.25,0.1777777778,0.1777777778,,,,,,,,
478,0.0689655172,0.125,0.1578947368,,,,,,,,
479,0.3225806452,0.2777777778,0.25,,,,,,,,
480,0.5,0.3414634146,0.3555555556,,,,,,,,
481,0,0.1081081081,0.1081081081,,,,,,,,
482,0.1739130435,0.3243243243,0.3243243243,,,,,,,,
483,0.4,0.3333333333,0.3043478261,,,,,,,,
484,0.2941176471,0.2727272727,0.2666666667,,,,,,,,
485,0.380952381,0.3870967742,0.3870967742,,,,,,,,
486,0.2068965517,0.487804878,0.487804878,,,,,,,,
487,0.6206896552,0.5,0.5,,,,,,,,
488,0.275862069,0.2666666667,0.2553191489,,,,,,,,
489,0.3076923077,0.3913043478,0.3829787234,,,,,,,,
490,0.3333333333,0.1904761905,0.1904761905,,,,,,,,
491,0.275862069,0.1777777778,0.1739130435,,,,,,,,
492,0.4166666667,0.4375,0.4242424242,,,,,,,,
493,0.064516129,0.1568627451,0.1568627451,,,,,,,,
494,0.3636363636,0.5106382979,0.5416666667,,,,,,,,
495,0.3043478261,0.3188405797,0.3513513514,,,,,,,,
496,0.3157894737,0.24,0.24,,,,,,,,
497,0.2325581395,0.6666666667,0.5789473684,,,,,,,,
498,0.347826087,0.3333333333,0.3243243243,,,,,,,,
499,0.4285714286,0.3783783784,0.3783783784,,,,,,,,
500,0.3125,0.3,0.3,,,,,,,,
501,0.3636363636,0.3829787234,0.3829787234,,,,,,,,
502,0.0869565217,0.1111111111,0.0909090909,,,,,,,,
503,0.3859649123,0.4691358025,0.4691358025,,,,,,,,
504,0.3333333333,0.3125,0.2941176471,,,,,,,,
505,0.380952381,0.3333333333,0.3157894737,,,,,,,,
506,0.2926829268,0.5161290323,0.4705882353,,,,,,,,
507,0.4444444444,0.3181818182,0.3404255319,,,,,,,,
508,0.375,0.2790697674,0.2448979592,,,,,,,,
509,0.375,0.5333333333,0.5333333333,,,,,,,,
510,0.1176470588,0.0454545455,0.0444444444,,,,,,,,
511,0.2962962963,0.2352941176,0.2857142857,,,,,,,,
512,0.3333333333,0.2564102564,0.3414634146,,,,,,,,
513,0.1538461538,0.1818181818,0.1785714286,,,,,,,,
514,0.0909090909,0.0833333333,0.0833333333,,,,,,,,
515,0.1379310345,0.1481481481,0.1481481481,,,,,,,,
516,0.2380952381,0.2816901408,0.2816901408,,,,,,,,
517,0.5142857143,0.3529411765,0.3125,,,,,,,,
518,0.4705882353,0.4285714286,0.4285714286,,,,,,,,
519,0.2564102564,0.2666666667,0.2553191489,,,,,,,,
520,0.4,0.2352941176,0.25,,,,,,,,
521,0.2068965517,0.4545454545,0.4166666667,,,,,,,,
522,0.303030303,0.3673469388,0.3928571429,,,,,,,,
523,0.2941176471,0.2127659574,0.2448979592,,,,,,,,
524,0.3125,0.4057971014,0.4,,,,,,,,
525,0.25,0.2926829268,0.2926829268,,,,,,,,
526,0.25,0.3018867925,0.3018867925,,,,,,,,
527,0.0571428571,0.2272727273,0.2083333333,,,,,,,,
528,0.0833333333,0.1363636364,0.1333333333,,,,,,,,
529,0.4,0.3414634146,0.3255813953,,,,,,,,
530,0.3870967742,0.2790697674,0.2790697674,,,,,,,,
531,0.3846153846,0.303030303,0.3529411765,,,,,,,,
532,0.064516129,0.4,0.3703703704,,,,,,,,
533,0.3870967742,0.36,0.3846153846,,,,,,,,
534,0.243902439,0.3561643836,0.3466666667,,,,,,,,
535,0.2222222222,0.1481481481,0.1481481481,,,,,,,,
536,0.1,0.2631578947,0.2857142857,,,,,,,,
537,0.3333333333,0.3692307692,0.3823529412,,,,,,,,
538,0.4,0.2424242424,0.2424242424,,,,,,,,
539,0.3428571429,0.32,0.32,,,,,,,,
540,0.1904761905,0.2777777778,0.358974359,,,,,,,,
541,0.4117647059,0.3492063492,0.3492063492,,,,,,,,
542,0.4137931034,0.2978723404,0.2978723404,,,,,,,,
543,0.2068965517,0.3181818182,0.3181818182,,,,,,,,
544,0,0.1481481481,0.2666666667,,,,,,,,
545,0.1538461538,0.4545454545,0.4444444444,,,,,,,,
546,0.4166666667,0.4117647059,0.4117647059,,,,,,,,
547,0.3333333333,0.1851851852,0.1851851852,,,,,,,,
548,0.3870967742,0.5217391304,0.5217391304,,,,,,,,
549,0.25,0.2264150943,0.2222222222,,,,,,,,
550,0.1666666667,0.303030303,0.2941176471,,,,,,,,
551,0.1578947368,0.3793103448,0.3548387097,,,,,,,,
552,0.2857142857,0.2307692308,0.2307692308,,,,,,,,
553,0.1935483871,0.2474226804,0.24,,,,,,,,
554,0.4166666667,0.375,0.375,,,,,,,,
555,0.2222222222,0.2051282051,0.2051282051,,,,,,,,
556,0.4242424242,0.4,0.4,,,,,,,,
557,0.2941176471,0.2352941176,0.2413793103,,,,,,,,
558,0.3333333333,0.5964912281,0.5964912281,,,,,,,,
559,0.1714285714,0.2,0.1960784314,,,,,,,,
560,0.1875,0.3555555556,0.347826087,,,,,,,,
561,0.2142857143,0.3921568627,0.3921568627,,,,,,,,
562,0.3902439024,0.303030303,0.3037974684,,,,,,,,
563,0.1,0.1612903226,0.1612903226,,,,,,,,
564,0.3414634146,0.3103448276,0.3103448276,,,,,,,,
565,0.4,0.303030303,0.2941176471,,,,,,,,
566,0.4210526316,0.3333333333,0.3333333333,,,,,,,,
567,0.2142857143,0.32,0.3137254902,,,,,,,,
568,0.5,0.35,0.3111111111,,,,,,,,
569,0.2,0.2692307692,0.3018867925,,,,,,,,
570,0.3157894737,0.3076923077,0.3076923077,,,,,,,,
571,0.2222222222,0.48,0.48,,,,,,,,
572,0.4,0.5454545455,0.5106382979,,,,,,,,
573,0.6470588235,0.48,0.5714285714,,,,,,,,
574,0.3243243243,0.3529411765,0.3529411765,,,,,,,,
575,0.2608695652,0.2222222222,0.2631578947,,,,,,,,
576,0.1875,0.3076923077,0.3076923077,,,,,,,,
577,0.4615384615,0.4210526316,0.4102564103,,,,,,,,
578,0.32,0.3,0.3,,,,,,,,
579,0.2,0.1481481481,0.1481481481,,,,,,,,
580,0.3225806452,0.4186046512,0.4186046512,,,,,,,,
581,0.2,0.1904761905,0.2608695652,,,,,,,,
582,0.3448275862,0.3913043478,0.3913043478,,,,,,,,
583,0.2962962963,0.2162162162,0.2162162162,,,,,,,,
584,0.16,0.2857142857,0.2857142857,,,,,,,,
585,0.1739130435,0.5789473684,0.5641025641,,,,,,,,
586,0.275862069,0.1509433962,0.1509433962,,,,,,,,
587,0.0952380952,0.2162162162,0.2105263158,,,,,,,,
588,0.275862069,0.4489795918,0.44,,,,,,,,
589,0.4,0.3859649123,0.3859649123,,,,,,,,
590,0.1379310345,0.1904761905,0.1904761905,,,,,,,,
591,0.0952380952,0.1142857143,0.1142857143,,,,,,,,
592,0.3783783784,0.3636363636,0.3636363636,,,,,,,,
593,0.2105263158,0.4545454545,0.4545454545,,,,,,,,
594,0.3846153846,0.2173913043,0.2173913043,,,,,,,,
595,0.1714285714,0.3037974684,0.2962962963,,,,,,,,
596,0.1428571429,0.0930232558,0.0930232558,,,,,,,,
597,0.2325581395,0.2393162393,0.2542372881,,,,,,,,
598,0.3428571429,0.4444444444,0.4444444444,,,,,,,,
599,0.3636363636,0.2702702703,0.2631578947,,,,,,,,
600,0.1935483871,0.25,0.2222222222,,,,,,,,
601,0.5294117647,0.5714285714,0.5384615385,,,,,,,,
602,0.4444444444,0.4285714286,0.5217391304,,,,,,,,
603,0.3225806452,0.431372549,0.431372549,,,,,,,,
604,0.375,0.3773584906,0.4745762712,,,,,,,,
605,0.1379310345,0.25,0.2857142857,,,,,,,,
606,0.2222222222,0.1333333333,0.1333333333,,,,,,,,
607,0.3529411765,0.2142857143,0.2068965517,,,,,,,,
608,0.28,0.3863636364,0.3863636364,,,,,,,,
609,0.4,0.3333333333,0.3076923077,,,,,,,,
610,0.3448275862,0.358974359,0.358974359,,,,,,,,
611,0.3333333333,0.2325581395,0.2127659574,,,,,,,,
612,0.56,0.4516129032,0.4117647059,,,,,,,,
613,0.4166666667,0.303030303,0.303030303,,,,,,,,
614,0.3870967742,0.2790697674,0.2790697674,,,,,,,,
615,0.2,0.2941176471,0.2941176471,,,,,,,,
616,0.25,0.4126984127,0.4126984127,,,,,,,,
617,0.3333333333,0.4897959184,0.4897959184,,,,,,,,
618,0.380952381,0.32,0.3137254902,,,,,,,,
619,0.24,0.1621621622,0.1578947368,,,,,,,,
620,0.303030303,0.2040816327,0.2040816327,,,,,,,,
621,0.3333333333,0.4,0.3870967742,,,,,,,,
622,0.3333333333,0.3720930233,0.3720930233,,,,,,,,
623,0.4166666667,0.4117647059,0.4117647059,,,,,,,,
624,0.1666666667,0.2564102564,0.2564102564,,,,,,,,
625,0.2222222222,0.2857142857,0.2857142857,,,,,,,,
626,0.4242424242,0.3720930233,0.3673469388,,,,,,,,
627,0.3684210526,0.3333333333,0.3265306122,,,,,,,,
628,0.3225806452,0.2727272727,0.2727272727,,,,,,,,
629,0.4375,0.2978723404,0.3333333333,,,,,,,,
630,0.380952381,0.2631578947,0.2564102564,,,,,,,,
631,0.3448275862,0.3157894737,0.3076923077,,,,,,,,
632,0.2222222222,0.4255319149,0.4166666667,,,,,,,,
633,0.4666666667,0.3111111111,0.3111111111,,,,,,,,
634,0.4827586207,0.5306122449,0.4905660377,,,,,,,,
635,0.48,0.4,0.4,,,,,,,,
636,0.2,0.1904761905,0.1904761905,,,,,,,,
637,0.2857142857,0.1714285714,0.1904761905,,,,,,,,
638,0.3333333333,0.35,0.35,,,,,,,,
639,0.375,0.3673469388,0.3703703704,,,,,,,,
640,0.4,0.5098039216,0.4642857143,,,,,,,,
641,0.275862069,0.511627907,0.511627907,,,,,,,,
642,0.1739130435,0.2222222222,0.2222222222,,,,,,,,
643,0.375,0.2727272727,0.2727272727,,,,,,,,
644,0.1538461538,0.3461538462,0.3272727273,,,,,,,,
645,0.1395348837,0.1764705882,0.2253521127,,,,,,,,
646,0.3125,0.2307692308,0.2307692308,,,,,,,,
647,0.4,0.2941176471,0.4,,,,,,,,
648,0.08,0.2564102564,0.2564102564,,,,,,,,
649,0.3703703704,0.3902439024,0.3902439024,,,,,,,,
650,0.275862069,0.3157894737,0.3157894737,,,,,,,,
651,0.3333333333,0.25,0.28,,,,,,,,
652,0.6,0.44,0.44,,,,,,,,
653,0.358974359,0.2592592593,0.2592592593,,,,,,,,
654,0.4137931034,0.3043478261,0.2592592593,,,,,,,,
655,0.2941176471,0.2666666667,0.2666666667,,,,,,,,
656,0.1764705882,0.2380952381,0.2325581395,,,,,,,,
657,0.3,0.2105263158,0.2105263158,,,,,,,,
658,0.2105263158,0.2307692308,0.2307692308,,,,,,,,
659,0.25,0.1818181818,0.2173913043,,,,,,,,
660,0.2857142857,0.2692307692,0.2692307692,,,,,,,,
661,0.3157894737,0.3846153846,0.3846153846,,,,,,,,
662,0.2666666667,0.2857142857,0.328358209,,,,,,,,
663,0.2424242424,0.3404255319,0.3673469388,,,,,,,,
664,0.2941176471,0.2,0.1785714286,,,,,,,,
665,0.1395348837,0.2,0.1971830986,,,,,,,,
666,0.3636363636,0.3333333333,0.3333333333,,,,,,,,
667,0.2857142857,0.2264150943,0.2264150943,,,,,,,,
668,0.0769230769,0.1052631579,0.1052631579,,,,,,,,
669,0.1764705882,0.1875,0.1875,,,,,,,,
670,0.2,0.1739130435,0.2857142857,,,,,,,,
671,0.1739130435,0.1176470588,0.0888888889,,,,,,,,
672,0.1818181818,0.1224489796,0.1224489796,,,,,,,,
673,0.4545454545,0.3448275862,0.3636363636,,,,,,,,
674,0.4210526316,0.3636363636,0.3636363636,,,,,,,,
675,0.2727272727,0.35,0.3333333333,,,,,,,,
676,0.3333333333,0.6222222222,0.6222222222,,,,,,,,
677,0.2926829268,0.234375,0.234375,,,,,,,,
678,0.3076923077,0.3428571429,0.3333333333,,,,,,,,
679,0.0714285714,0.2564102564,0.2564102564,,,,,,,,
680,0.0526315789,0.4074074074,0.4,,,,,,,,
681,0.380952381,0.4333333333,0.4333333333,,,,,,,,
682,0.4444444444,0.3783783784,0.3255813953,,,,,,,,
683,0.4137931034,0.4102564103,0.4102564103,,,,,,,,
684,0.2352941176,0.1818181818,0.1694915254,,,,,,,,
685,0.1176470588,0.1777777778,0.1739130435,,,,,,,,
686,0.2142857143,0.5581395349,0.5581395349,,,,,,,,
687,0.3571428571,0.3333333333,0.2926829268,,,,,,,,
688,0.1333333333,0.2916666667,0.2916666667,,,,,,,,
689,0.1212121212,0.1090909091,0.1090909091,,,,,,,,
690,0.1818181818,0.1818181818,0.170212766,,,,,,,,
691,0.2580645161,0.1428571429,0.1428571429,,,,,,,,
692,0.375,0.2745098039,0.2711864407,,,,,,,,
693,0.24,0.2769230769,0.2769230769,,,,,,,,
694,0.5625,0.3829787234,0.3829787234,,,,,,,,
695,0.347826087,0.2580645161,0.2580645161,,,,,,,,
696,0.2068965517,0.1764705882,0.1764705882,,,,,,,,
697,0.2142857143,0.1224489796,0.1224489796,,,,,,,,
698,0.2,0.1428571429,0.25,,,,,,,,
699,0.4117647059,0.3846153846,0.3846153846,,,,,,,,
700,0.4242424242,0.380952381,0.380952381,,,,,,,,
701,0.2222222222,0.1379310345,0.2,,,,,,,,
702,0.2857142857,0.3043478261,0.3043478261,,,,,,,,
703,0.0952380952,0.3333333333,0.3333333333,,,,,,,,
704,0.3076923077,0.25,0.25,,,,,,,,
705,0.2,0.3333333333,0.3636363636,,,,,,,,
