iteration_num,svm,decision_trees,neural_net,,,,,,,,
104,0.2424242424,0.4166666667,0.4081632653,,,,,,,,
105,0.1935483871,0.375,0.3692307692,,,,,,,,
106,0.2222222222,0.1578947368,0.1538461538,,,,,,,,
107,0.2352941176,0.2608695652,0.2307692308,,,,,,,,
108,0.487804878,0.5084745763,0.4838709677,,,,,,,,
109,0.3076923077,0.2040816327,0.2,,,,,,,,
110,0.4166666667,0.3414634146,0.3333333333,,,,,,,,
111,0.1290322581,0.4,0.4,,,,,,,,
112,0.1333333333,0.1578947368,0.1538461538,,,,,,,,
113,0.2727272727,0.2962962963,0.3428571429,,,,,,,,
114,0.3846153846,0.303030303,0.303030303,,,,,,,,
115,0.1333333333,0.2448979592,0.24,,,,,,,,
116,0.5263157895,0.52,0.5098039216,,,,,,,,
117,0.5405405405,0.5573770492,0.5396825397,,,,,,,,
118,0.0833333333,0.1951219512,0.2272727273,,,,,,,,
119,0.2857142857,0.2424242424,0.358974359,,,,,,,,
120,0.1904761905,0.2857142857,0.2580645161,,,,,,,,
121,0.32,0.3157894737,0.3076923077,,,,,,,,
122,0.2142857143,0.3555555556,0.3555555556,,,,,,,,
123,0.5,0.3142857143,0.3142857143,,,,,,,,
124,0.2857142857,0.3846153846,0.3773584906,,,,,,,,
125,0.1818181818,0.34375,0.3529411765,,,,,,,,
126,0.3125,0.3043478261,0.3333333333,,,,,,,,
127,0.3529411765,0.3529411765,0.3529411765,,,,,,,,
128,0.3720930233,0.3214285714,0.3214285714,,,,,,,,
129,0.3529411765,0.4642857143,0.4642857143,,,,,,,,
130,0.3076923077,0.511627907,0.511627907,,,,,,,,
131,0.3529411765,0.4347826087,0.4347826087,,,,,,,,
132,0.2222222222,0.1363636364,0.1363636364,,,,,,,,
133,0.1290322581,0.1860465116,0.1860465116,,,,,,,,
134,0.16,0.1666666667,0.1666666667,,,,,,,,
135,0.5714285714,0.4,0.4,,,,,,,,
136,0.3,0.2,0.1904761905,,,,,,,,
137,0.1333333333,0.0869565217,0.0869565217,,,,,,,,
138,0.3684210526,0.32,0.2909090909,,,,,,,,
139,0.2580645161,0.1904761905,0.1860465116,,,,,,,,
140,0.56,0.4736842105,0.4736842105,,,,,,,,
141,0.275862069,0.3333333333,0.32,,,,,,,,
142,0.375,0.2608695652,0.2553191489,,,,,,,,
143,0.3,0.2903225806,0.2769230769,,,,,,,,
144,0.3428571429,0.48,0.5185185185,,,,,,,,
145,0.2857142857,0.4705882353,0.4615384615,,,,,,,,
146,0.2608695652,0.275862069,0.275862069,,,,,,,,
147,0.3333333333,0.3,0.3,,,,,,,,
148,0.303030303,0.3404255319,0.3265306122,,,,,,,,
149,0.2857142857,0.303030303,0.2777777778,,,,,,,,
150,0.4705882353,0.4347826087,0.4680851064,,,,,,,,
151,0.2142857143,0.2222222222,0.2,,,,,,,,
152,0.5517241379,0.36,0.36,,,,,,,,
153,0.1764705882,0.3137254902,0.3137254902,,,,,,,,
154,0.3783783784,0.5283018868,0.46875,,,,,,,,
155,0.1714285714,0.2807017544,0.262295082,,,,,,,,
156,0,0.3783783784,0.3783783784,,,,,,,,
157,0.2222222222,0.2222222222,0.2105263158,,,,,,,,
158,0.1818181818,0.1025641026,0.1025641026,,,,,,,,
159,0.3428571429,0.3673469388,0.3673469388,,,,,,,,
160,0.4,0.4571428571,0.4571428571,,,,,,,,
161,0.3076923077,0.4680851064,0.5384615385,,,,,,,,
162,0.45,0.4,0.3939393939,,,,,,,,
163,0.3684210526,0.3265306122,0.3018867925,,,,,,,,
164,0.2051282051,0.3492063492,0.3492063492,,,,,,,,
165,0.1428571429,0.2777777778,0.2777777778,,,,,,,,
166,0.4117647059,0.3673469388,0.3529411765,,,,,,,,
167,0.3076923077,0.4081632653,0.4,,,,,,,,
168,0.1428571429,0.3137254902,0.3137254902,,,,,,,,
169,0.08,0.2666666667,0.2666666667,,,,,,,,
170,0.4761904762,0.3571428571,0.3571428571,,,,,,,,
171,0.2857142857,0.4814814815,0.4727272727,,,,,,,,
172,0.4137931034,0.375,0.3529411765,,,,,,,,
173,0.5,0.5384615385,0.5316455696,,,,,,,,
174,0.3333333333,0.2745098039,0.2745098039,,,,,,,,
175,0.275862069,0.1923076923,0.2222222222,,,,,,,,
176,0.32,0.3684210526,0.3684210526,,,,,,,,
177,0.32,0.447761194,0.447761194,,,,,,,,
178,0.4137931034,0.3137254902,0.3461538462,,,,,,,,
179,0.5,0.3529411765,0.3529411765,,,,,,,,
180,0.2222222222,0.2978723404,0.2978723404,,,,,,,,
181,0.2105263158,0.1176470588,0.1176470588,,,,,,,,
182,0.3076923077,0.2222222222,0.2222222222,,,,,,,,
183,0.2105263158,0.2631578947,0.2631578947,,,,,,,,
184,0.3125,0.2564102564,0.2564102564,,,,,,,,
