iteration_num,svm,decision_trees,neural_net
0,0.39999999999999997,0.41025641025641024,0.4
1,0.3703703703703704,0.3157894736842105,0.3157894736842105
2,0.10526315789473685,0.25,0.25
3,0.411764705882353,0.27586206896551724,0.25396825396825395
4,0.25,0.18604651162790697,0.18181818181818182
5,0.3043478260869565,0.1728395061728395,0.1728395061728395
6,0.3888888888888889,0.24561403508771928,0.24137931034482757
7,0.19607843137254902,0.19178082191780824,0.19178082191780824
8,0.2608695652173913,0.22857142857142854,0.22857142857142854
9,0.3125,0.32,0.32
10,0.4117647058823529,0.33333333333333337,0.33333333333333337
11,0.19999999999999998,0.2105263157894737,0.2105263157894737
12,0.4375,0.2692307692307693,0.2641509433962264
13,0.4444444444444444,0.32142857142857145,0.33898305084745767
14,0.22857142857142856,0.15,0.15
15,0.21739130434782608,0.0847457627118644,0.08403361344537814
16,0.3125,0.2727272727272727,0.2727272727272727
17,0.05128205128205127,0.12345679012345678,0.12941176470588234
18,0.23255813953488372,0.26666666666666666,0.25396825396825395
19,0.2105263157894737,0.12307692307692308,0.15384615384615383
20,0.15384615384615383,0.10256410256410255,0.10256410256410255
21,0.36363636363636365,0.21428571428571427,0.21428571428571427
22,0.1142857142857143,0.18867924528301888,0.18867924528301888
23,0.4666666666666667,0.3404255319148936,0.326530612244898
24,0.2564102564102564,0.18918918918918923,0.1842105263157895
25,0.0,0.2857142857142857,0.2857142857142857
26,0.4,0.43137254901960786,0.43137254901960786
27,0.24,0.26666666666666666,0.26666666666666666
28,0.14285714285714288,0.15384615384615383,0.1515151515151515
29,0.058823529411764705,0.0784313725490196,0.11320754716981132
